200,\$	English (Australia)	英语（澳大利亚）
200,\$	English (UK)	英语（英国）
200,\$	English (US)	英语（美国）
200,\$	Estonian	爱沙尼亚语
200,\$	Filipino	菲律宾语
200,\$	Finnish	芬兰语
200,\$	French	法语
200,\$	French (Canada)	法语（加拿大）
200,\$	Galician	加里西亚语
200,\$	German	德语
200,\$	Greek	希腊语
200,\$	Gujarati	古吉拉特语
200,\$	Hebrew	希伯来语
200,\$	Hindi	印地语
200,\$	Hungarian	匈牙利语
200,\$	Icelandic	冰岛语
200,\$	Indonesian	印度尼西亚语
200,\$	Italian	意大利语
200,\$	Japanese	日语
200,\$	Kannada	埃纳德语
200,\$	Korean	韩语
200,\$	Latvian	拉脱维亚语
200,\$	Lithuanian	立陶宛语
200,\$	Malay	马来语
200,\$	Malayalam	马拉雅拉姆语
200,\$	Marathi	马拉地语
200,\$	Norwegian Bokm&#229;l	挪威博克马尔文
200,\$	Persian/Farsi	波斯语/波斯文
200,\$	Polish	波兰语
200,\$	Portuguese	葡萄牙语
200,\$	Portuguese (Brazil)	葡萄牙语（巴西）
200,\$	Romanian	罗马尼亚语
200,\$	Russian	俄语
200,\$	Serbian	塞尔维亚语
200,\$	Slovak	斯洛伐克语
200,\$	Slovenian	斯诺文尼亚语
200,\$	Spanish (Latin America)	西班牙语（拉丁美洲）
200,\$	Spanish (Spain)	西班牙语（西班牙）
200,\$	Swahili	斯瓦希里语
200,\$	Swedish	瑞典语
200,\$	Tamil	泰米尔语
200,\$	Telugu	泰卢固语
200,\$	Thai	泰语
200,\$	Turkish	土耳其语
200,\$	Ukrainian	乌克兰语
200,\$	Urdu	乌尔都语
200,\$	Vietnamese	越南语
200,\$	Zulu	祖鲁语
200,\$	Armenian	亚美尼亚语
200,\$	Dzongkha	宗卡语
200,\$	Georgian	格鲁吉亚语
200,\$	Khmer	高棉语
200,\$	Lao	老挝语
200,\$	Mongolian	蒙古语
200,\$	Nepali	尼泊尔语
200,\$	Sinhala	僧伽罗语
200,\$	Welsh	威尔士语
200,\$	Other	其他
,	Why don't you use AdWords Editor in the language you speak best?	您为何不使用自己最擅长语言版本的 AdWords 编辑器？
,	I didn't know that AdWords Editor is available in this language	
,	I don't know where to change the language	
,	I generally use English when I am on the Internet	
,	I know that AdWords Editor is available in this language, but I've never tried it out	
,	I tried using AdWords Editor in this language, but the quality was poor	
,	Other	
,	How often do you use PRODUCT?	
,	Less than once a month	
,	About once a month	
,	About 2-3 times a month	
,	About once a week	
,	A few times a week	
,	About once a day	
,	Multiple times a day	
,	Thank you very much for your help!	
,	Thank you very much for the time you took to answer this survey. You've contributed to making AdWords Editor an even better experience in the future.	
